Orm;Snake;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8909_96square.jpeg;
Sköldpadda;Turtle;https://d1pra95f92lrn3.cloudfront.net/media/thumb/29889_96square.jpeg;
Utgång;Exit;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21854_96square.jpeg;
Guidebok;Guidbook;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21856_96square.jpeg;
Reservation;Reservation;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9220_96square.jpeg;
Bonde;Farmer;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21860_96square.jpeg;
Konstnär;Artist;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21858_96square.jpeg;
Känna;Feel;kanna.jpeg;
Rita;Draw;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9448_96square.jpeg;
Planera;Plan;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21984_96square.jpeg;
Placera;Put;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9094_96square.jpeg;
Hålla i;Remember;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8544_96square.jpeg;
Mäta;Measure;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8752_96square.jpeg;
Marknad;Market;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9544_96square.jpeg;
Mittgång;Aisle;https://d1pra95f92lrn3.cloudfront.net/media/thumb/28890_96square.jpeg;
Kundvagn;Shopping card;https://d1pra95f92lrn3.cloudfront.net/media/thumb/28897_96square.jpeg;
Teckning;Drawing;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8345_96square.jpeg;
Förkylning;Cold;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9808_96square.jpeg;
Skada;Injury;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9090_96square.jpeg;
Smärta;Pain;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9408_96square.jpeg;
Bokhylla;Bookshelf;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17323_96square.jpeg;
Byrå;Dresser;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17330_96square.jpeg;
Väckarklocka;Alarm clock;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9033_96square.jpeg;
Fjärrkontroll;Remote control;https://d1pra95f92lrn3.cloudfront.net/media/thumb/23192_96square.jpeg;
Torka;Wipe;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8615_96square.jpeg;
Tvätta;Clean;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10063_96square.jpeg;
Damma;Dust;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9013_96square.jpeg;
Lägga undan;Put away;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9479_96square.jpeg;
Fuktigt;Humid;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8228_96square.jpeg;
Blåsigt;Windy;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9629_96square.jpeg;
Dimma;Fog;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8447_96square.jpeg;
åska;Thunderstorm;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8502_96square.jpeg;
Bassäng;Pool;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9571_96square.jpg;
Busshållplats;Bus stop;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8234_96square.jpeg;
Korsning;Intersection;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10348_96square.jpeg;
Trafikljus;Traffic light;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9499_96square.jpeg;
Övergångsställe;Crossing;crossing.jpeg;
Vänlig;Kind;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9564_96square.jpeg;
Läskig;Scary;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8311_96square.jpeg;
Elak;Mean;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8124_96square.jpeg;
Skrämmande;Scary;skrammande.jpeg;
Uttråkad;Bored;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17343_96square.jpeg;
Avslappnande;Relaxing;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9671_96square.jpeg;
Servitris;Waitress;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21875_96square.jpeg;
Lavin;Avalanche;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8656_96square.jpeg;
Jordbävning;Earthquake;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9294_96square.jpeg;
